iter	Passed	Remaining
0	59	59663
1	62	31105
2	64	21440
3	66	16646
4	69	13792
5	71	11881
6	73	10467
7	76	9461
8	78	8637
9	80	7951
10	82	7393
11	84	6940
12	87	6617
13	89	6328
14	91	6039
15	94	5796
16	95	5549
17	97	5329
18	99	5142
19	101	4964
20	103	4809
21	104	4654
22	106	4522
23	108	4403
24	109	4283
25	111	4167
26	112	4067
27	115	4006
28	117	3925
29	119	3855
30	121	3782
31	122	3710
32	124	3651
33	127	3609
34	128	3555
35	131	3511
36	132	3456
37	135	3427
38	137	3384
39	139	3354
40	141	3313
41	143	3275
42	145	3234
43	147	3202
44	148	3157
45	150	3112
46	151	3080
47	153	3050
48	155	3013
49	156	2981
50	158	2943
51	160	2918
52	161	2891
53	163	2857
54	164	2832
55	166	2802
56	167	2772
57	169	2752
58	171	2732
59	173	2714
60	174	2690
61	176	2669
62	178	2649
63	179	2631
64	181	2612
65	183	2601
66	185	2587
67	187	2568
68	189	2557
69	191	2540
70	193	2526
71	195	2514
72	196	2501
73	198	2488
74	200	2474
75	202	2460
76	204	2447
77	205	2434
78	207	2422
79	209	2410
80	211	2400
81	213	2386
82	214	2373
83	216	2362
84	219	2359
85	220	2345
86	222	2337
87	224	2324
88	226	2314
89	228	2305
90	229	2291
91	231	2279
92	233	2272
93	234	2261
94	236	2251
95	238	2244
96	240	2234
97	241	2224
98	243	2217
99	245	2209
100	247	2199
101	249	2198
102	251	2191
103	253	2181
104	255	2175
105	256	2166
106	258	2157
107	260	2149
108	261	2140
109	263	2132
110	266	2130
111	268	2132
112	271	2127
113	272	2118
114	274	2110
115	275	2102
116	277	2097
117	279	2091
118	281	2083
119	282	2072
120	284	2064
121	286	2058
122	287	2051
123	289	2045
124	291	2041
125	293	2036
126	294	2027
127	296	2021
128	298	2014
129	300	2008
130	301	2002
131	304	2000
132	306	1994
133	307	1988
134	310	1987
135	311	1981
136	313	1977
137	315	1973
138	317	1968
139	319	1963
140	322	1962
141	323	1956
142	325	1953
143	327	1947
144	329	1942
145	331	1938
146	333	1933
147	334	1926
148	336	1922
149	338	1918
150	340	1914
151	342	1911
152	344	1907
153	346	1903
154	348	1898
155	349	1892
156	351	1888
157	353	1883
158	355	1878
159	356	1873
160	358	1868
161	360	1862
162	361	1858
163	363	1852
164	365	1848
165	367	1844
166	369	1843
167	372	1842
168	373	1838
169	376	1836
170	378	1833
171	380	1830
172	382	1827
173	385	1827
174	386	1823
175	388	1819
176	390	1815
177	392	1811
178	394	1807
179	396	1805
180	397	1800
181	399	1796
182	401	1791
183	403	1788
184	405	1785
185	407	1784
186	409	1781
187	411	1775
188	412	1770
189	414	1767
190	416	1764
191	418	1760
192	420	1757
193	421	1752
194	423	1749
195	425	1746
196	427	1741
197	429	1738
198	431	1735
199	432	1731
200	434	1726
201	435	1722
202	437	1719
203	439	1714
204	441	1711
205	443	1709
